"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
95,"UBC1096",303.02,0.06,37.35,0.04,74.63,0.04,1.88,0.05,0.16,0.02,-2.94,0.08,-4.93,0.09,-25.93,0.61,26,2," ",8.579,7768,3.328,303.02,37.35
96,"UBC1097",303.64,0.07,37.38,0.06,74.93,0.05,1.49,0.07,0.38,0.01,-1.3,0.06,-3.16,0.06,-3.94,"     ",22,1," ",8.537,2682,1.607,303.64,37.38
97,"UBC1098",305.38,0.05,36.93,0.05,75.34,0.05,0.09,0.04,0.5,0.01,-2.63,0.07,-5.39,0.1,"      ","     ",19,0," ",7.334,2193,3.038,305.38,36.93
98,"UBC1099",304.8,0.13,37.34,0.1,75.42,0.09,0.7,0.11,0.48,0.01,-2.49,0.08,-5.42,0.08,"      ","     ",38,0," ",6.799,2540,2.723,304.8,37.34
99,"UBC1100",304.06,0.08,37.92,0.07,75.57,0.07,1.51,0.06,0.24,0.02,-3.71,0.08,-6.02,0.08,"      ","     ",47,0,"a",7.486,3725,1.768,304.06,37.92
100,"UBC1101",305.7,0.14,37.19,0.09,75.69,0.09,0.02,0.11,0.49,0.01,-2.37,0.07,-5.35,0.08,"      ","     ",58,0," ",6.904,2315,3.709,305.7,37.19
101,"UBC1102",308.93,0.09,36.57,0.07,76.71,0.07,-2.43,0.07,0.32,0.03,-2.11,0.08,-4.98,0.11,"      ","     ",45,0," ",7.134,3640,3.145,308.93,36.57
102,"UBC1103",306.87,0.16,38.76,0.15,77.51,0.17,0.17,0.09,0.6,0.01,-0.21,0.06,-2.84,0.07,"      ","     ",50,0," ",7.489,1751,2.649,306.87,38.76
103,"UBC1104",305.09,0.08,39.89,0.07,77.64,0.07,1.95,0.07,0.77,0.02,-2.29,0.07,-3.48,0.09,"      ","     ",47,0," ",7.16,1312,1.356,305.09,39.89
104,"UBC1105",306.85,0.1,39.39,0.1,78.01,0.07,0.55,0.1,0.58,0.02,-2.22,0.08,-4.97,0.1,"      ","     ",53,0,"a",6.935,1908,3.99,306.85,39.39
105,"UBC1106",304.48,0.11,40.7,0.08,78.06,0.08,2.79,0.08,0.55,0.01,-3.44,0.07,-4.88,0.09,"      ","     ",35,0,"a",6.99,2001,2.623,304.48,40.7
106,"UBC1107",311.03,0.09,37.05,0.11,78.11,0.11,-3.47,0.08,0.32,0.02,-2.55,0.08,-4.05,0.1,"      ","     ",31,0,"a",7.264,3261,1.974,311.03,37.05
107,"UBC1108",298.09,0.06,44.81,0.06,79.06,0.05,8.94,0.05,0.21,0.02,-1.91,0.1,-3.73,0.12,9.93,3.52,56,2," ",9.551,4621,0.878,298.09,44.81
108,"UBC1109",312.1,0.07,39.01,0.08,80.17,0.08,-2.91,0.06,0.32,0.02,-2.62,0.08,-3.99,0.07,"      ","     ",32,0," ",7.235,3958,3.482,312.1,39.01
109,"UBC1110",306.69,0.05,44.09,0.06,81.77,0.05,3.39,0.05,0.41,0.02,-2.24,0.09,-3.43,0.08,-27.48,"     ",38,1," ",8.024,2639,3.421,306.69,44.09
110,"UBC1111",318.25,0.17,37.19,0.08,81.98,0.11,-7.76,0.11,0.19,0.01,-2.9,0.18,-3.8,0.12,-38.99,20.77,28,2," ",9.263,6166,0.794,318.25,37.19
111,"UBC1112",306.99,0.1,45.46,0.07,83.02,0.08,4,0.07,0.33,0.02,-2.51,0.07,-4.64,0.09,"      ","     ",45,0," ",7.69,3051,1.773,306.99,45.46
112,"UBC1113",311.65,0.06,43.75,0.05,83.65,0.05,0.33,0.04,0.27,0.02,-2.3,0.08,-3.1,0.08,"      ","     ",33,0," ",7.547,4737,3.186,311.65,43.75
113,"UBC1114",320.29,0.12,39.44,0.08,84.74,0.08,-7.36,0.1,0.19,0.02,-3.58,0.19,-4.57,0.19,"      ","     ",24,0," ",9.164,6700,1.014,320.29,39.44
114,"UBC1115",309.13,0.07,46.88,0.07,85.04,0.07,3.64,0.05,0.41,0.02,-2.28,0.07,-5.49,0.1,"      ","     ",37,0," ",8.027,2467,1.788,309.13,46.88
115,"UBC1116",306.69,0.09,49.11,0.05,85.89,0.06,6.28,0.05,0.59,0.02,0.17,0.05,-3.86,0.07,"      ","     ",23,0," ",8.763,1906,1.061,306.69,49.11
